Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
372	NCT03297346	Early Detection of Cardiovascular Changes After Radiotherapy for Breast Cancer	Recruiting	No Results Available	Breast Cancer Female	Other: Cardiac imaging and circulating biomarkers	Female	40 Years to 75 Years   (Adult, Older Adult)	Not Applicable	250	Interventional	September 1, 2017	IRSN - Clinique Pasteur, Toulouse, France|Klinikum rechts der Isar der Technischen Universität München, Munich, Germany|Academisch Ziekenhuis Groningen, Groningen, Netherlands|Associação para Investigação e Desenvolvimento da Faculdade de Medicina, Lisbon, Portugal|Institut Català d'Oncologia, Girona, Spain	https://ClinicalTrials.gov/show/NCT03297346
373	NCT03295708	Fish Oil as Adjunct Treatment for Major Depressive Disorder	Recruiting	No Results Available	Major Depressive Disorder	Dietary Supplement: fish oil capsule|Dietary Supplement: soybean oil capsule	All	18 Years to 50 Years   (Adult)	Not Applicable	120	Interventional	October 1, 2017	Mental Health Institute, Second Xiangya Hospital of Central South University, Changsha, Hunan, China	https://ClinicalTrials.gov/show/NCT03295708
374	NCT03295422	Comparison of Two Pulmonary Vein Ablation Techniques for Persistent AF	Recruiting	No Results Available	Chronic Atrial Fibrillation|Persistent Atrial Fibrillation	Procedure: RF ablation PVI alone|Procedure: RF ablation PVI plus LPAW	All	18 Years and older   (Adult, Older Adult)	Not Applicable	200	Interventional	August 25, 2017	Dignity Health, Sequoia Hospital, Redwood City, California, United States	https://ClinicalTrials.gov/show/NCT03295422
375	NCT03294395	New AntiBiotic Treatment Options for Uncomplicated Anogenital GOnorrhoea	Recruiting	No Results Available	Gonorrhea	Drug: Ertapenem 1000 MG|Drug: Fosfomycin Oral Suspension|Drug: Gentamicin Sulfate, Injectable|Drug: Ceftriaxone	All	18 Years and older   (Adult, Older Adult)	Phase 3	408	Interventional	September 18, 2017	Public Health Service, Amsterdam, Noord Holland, Netherlands	https://ClinicalTrials.gov/show/NCT03294395
376	NCT03291951	FOcus on Reducing Dose-limiting Toxicities in Colon Cancer With Resistance Exercise Study	Enrolling by invitation	No Results Available	Resistance Training|Colon Cancer|Chemotherapy Effect	Behavioral: Resistance training	All	18 Years and older   (Adult, Older Adult)	Not Applicable	180	Interventional	February 16, 2018	Kaiser Permanente Division of Research, Oakland, California, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Penn State Cancer Institute, Hershey, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03291951
377	NCT03290833	Is the Rehabilitation Robotic a Safe and Effective Choice for Stroke Patients?	Recruiting	No Results Available	Stroke	Device: Robotic|Other: Conventional therapy	All	20 Years and older   (Adult, Older Adult)	Not Applicable	36	Interventional	November 24, 2017	Ten Chan General Hospital, Taoyuan City, Taiwan	https://ClinicalTrials.gov/show/NCT03290833
378	NCT03290560	Evaluation to Assess Safety and Tolerability of DM199 in Subjects With Acute Ischemic Stroke	Recruiting	No Results Available	Acute Ischemic Stroke	Drug: Recombinant human tissue kallikrein|Other: Placebo	All	18 Years and older   (Adult, Older Adult)	Phase 2	60	Interventional	January 19, 2018	Calvary Public Hospital, Bruce, Australian Capital Territory, Australia|Lismore Base Hospital, Lismore, New South Wales, Australia|Liverpool Hospital, Liverpool, New South Wales, Australia|John Hunter Hospital, New Lambton Heights, New South Wales, Australia|Royal Brisbane and Women's Hospital, Herston, Queensland, Australia|Princess Alexandria Hospital, Woolloongabba, Queensland, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Sunshine Hospital, St Albans, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia|Royal Adelaide Hospital, Adelaide, Australia|Ballarat Health Services, Ballarat, Australia|Box Hill Hospital, Box Hill, Australia	https://ClinicalTrials.gov/show/NCT03290560
379	NCT03289858	Randomized Controlled Trial for Exparel Hip Fracture	Recruiting	No Results Available	Hip Fractures	Drug: Exparel|Drug: Sodium Chloride	All	55 Years and older   (Adult, Older Adult)	Phase 4	50	Interventional	September 1, 2017	University of Kentucky, Lexington, Kentucky, United States|UMass Memorial Medical Center, Worcester, Massachusetts, United States	https://ClinicalTrials.gov/show/NCT03289858
380	NCT03286374	Do Change in Life Style Improve Work Ability?	Recruiting	No Results Available	Obesity, Morbid|Sick-leave|Work Related Illnesses|Life Style	Behavioral: Occupational rehabilitation	All	18 Years to 67 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	August 30, 2017	Anita Dyb Linge, Valldal, Møre Og Romsdal, Norway	https://ClinicalTrials.gov/show/NCT03286374
381	NCT03283943	PDL-1 Inhibition and Focal Sensitizing Radiotherapy in Recurrent Ovarian/Primary Peritoneal/Fallopian Tube Cancers.	Recruiting	No Results Available	Ovarian Cancer|Primary Peritoneal Carcinoma|Fallopian Tube Cancer	Radiation: Focal radiotherapy|Drug: Durvalumab	Female	19 Years to 99 Years   (Adult, Older Adult)	Phase 1	22	Interventional	April 1, 2018	BC Cancer Agency, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT03283943
382	NCT03275571	HIV, Computerized Depression Therapy & Cognition	Enrolling by invitation	No Results Available	HIV Infections|Depression|CBT	Behavioral: cCBT intervention	All	35 Years and older   (Adult, Older Adult)	Not Applicable	30	Interventional	September 6, 2017	McGill University Health Center, Montreal, Quebec, Canada	https://ClinicalTrials.gov/show/NCT03275571
383	NCT03269071	Neural Stem Cell Transplantation in Multiple Sclerosis Patients	Enrolling by invitation	No Results Available	Progressive Multiple Sclerosis	Drug: human fetal-derived Neural Stem Cells (hNSCs)	All	18 Years to 55 Years   (Adult)	Phase 1	4	Interventional	May 17, 2017	IRCCS Ospedale San Raffaele, Milan, MI, Italy	https://ClinicalTrials.gov/show/NCT03269071
384	NCT03268213	Fecal Microbial Transplantation for C. Difficile and/or Ulcerative Colitis or Indeterminate Colitis	Recruiting	No Results Available	Clostridium Difficile Infection|Ulcerative Colitis|Indeterminate Colitis	Biological: Fecal Microbial Transplantation	All	1 Year and older   (Child, Adult, Older Adult)	Early Phase 1	100	Interventional	November 2013	Stony Brook University Hospital, Stony Brook, New York, United States	https://ClinicalTrials.gov/show/NCT03268213
385	NCT03267420	Blood Pressure Measurement: Should Technique Define Targets?	Recruiting	No Results Available	Hypertension	Diagnostic Test: BpTRU First, Unattended Omron Second|Diagnostic Test: Unattended Omron First, BpTRU Second|Diagnostic Test: Partially Attended Omron First, Unattended Omron Second	All	18 Years and older   (Adult, Older Adult)	Not Applicable	90	Interventional	October 12, 2017	The Hypertension Unit of The Ottawa Hospital, Ottawa, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03267420
386	NCT03267238	Fecal Microbial Transplantation in Patients With Crohn's Disease	Recruiting	No Results Available	Crohn Disease	Biological: Fecal Microbial Transplantation	All	7 Years and older   (Child, Adult, Older Adult)	Early Phase 1	40	Interventional	June 16, 2017	Stony Brook University Hospital, Stony Brook, New York, United States	https://ClinicalTrials.gov/show/NCT03267238
387	NCT03263780	High Resolution PET-MRI Before Prostate Cancer HIFU	Recruiting	No Results Available	Prostate Cancer	Drug: 18F-Fluciclovine	Male	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Interventional	December 7, 2017	Cedars-Sinai Medical Center, Los Angeles, California, United States	https://ClinicalTrials.gov/show/NCT03263780
388	NCT03263156	A Brief Parent-based Sleep Intervention for ADHD Children	Recruiting	No Results Available	ADHD|Insomnia	Behavioral: Sleep hygiene practices and behavioural intervention	All	6 Years to 12 Years   (Child)	Not Applicable	60	Interventional	April 1, 2017	Child and Adolescent Psychiatric Service Clinic, New Territories East Cluster (NTEC), Hospital Authority, Hong Kong, Hong Kong|Sleep Research Clinic & Laboratory, Department of Psychology, The University of Hong Kong, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03263156
389	NCT03256396	Intraoperative PEEP Setting During Laparoscopic Gynecologic Surgery	Recruiting	No Results Available	Positive-Pressure Respiration/Methods|Esophagus/Physiopathology|Pleura/Physiopathology|Gynecologic Surgical Procedures|Laparoscopy|Humans|Female	Procedure: PEEP setting based on esophageal pressure measured	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	44	Interventional	March 30, 2018	Siriraj Hospital, Bangkoknoi, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT03256396
390	NCT03254589	Methotrexate, Blood Pressure and Arterial Function in Rheumatoid Arthritis	Recruiting	No Results Available	Rheumatoid Arthritis|Stiffness, Aortic|Endothelial Dysfunction|Cardiovascular Risk Factor	Drug: Methotrexate|Drug: Sulfasalazine|Drug: Other DMARDs	All	18 Years and older   (Adult, Older Adult)	Phase 4	124	Interventional	October 1, 2017	Southern Adelaide Local Health Network, Bedford Park, South Australia, Australia	https://ClinicalTrials.gov/show/NCT03254589
391	NCT03251495	Immunologic Responses to a Live Attenuated Oral Cholera Vaccine	Recruiting	No Results Available	Cholera	Drug: Vaxchora	All	18 Years to 49 Years   (Adult)	Phase 2	50	Interventional	August 29, 2017	The Hope Clinic of Emory University, Atlanta, Georgia, United States	https://ClinicalTrials.gov/show/NCT03251495
392	NCT03248518	Lessening the Impact of Fatigue in Inflammatory Rheumatic Diseases	Enrolling by invitation	No Results Available	Rheumatoid Arthritis|Lupus Erythematosus, Systemic|Axial Spondyloarthritis|Psoriatic Arthritis|Sjogren's Syndrome	Behavioral: Usual Care|Behavioral: Cognitive behavioural approach|Behavioral: Personalised Exercise Programme	All	18 Years and older   (Adult, Older Adult)	Not Applicable	375	Interventional	September 5, 2017	NHS Grampian, Aberdeen, United Kingdom|NHS Tayside, Dundee, United Kingdom|NHS Lothian, Edinburgh, United Kingdom|NHS Greater Glasgow and Clyde, Glasgow, United Kingdom|Newcastle upon Tyne Hospitals NHS Foundation Trust, Newcastle Upon Tyne, United Kingdom|Midlands Partnership NHS Foundation Trust, Stoke on Trent, United Kingdom	https://ClinicalTrials.gov/show/NCT03248518
393	NCT03243539	Implementation of Neuro Lung Protective Ventilation	Recruiting	No Results Available	Acute Brain Injury|Traumatic Brain Injury|Intracerebral Hemorrhage|Stroke|Cerebral Edema|Anoxic Brain Injury	Procedure: Lung Protective Ventilation	All	18 Years and older   (Adult, Older Adult)	Not Applicable	728	Interventional	August 31, 2017	Intermountain Medical Center, Murray, Utah, United States	https://ClinicalTrials.gov/show/NCT03243539
394	NCT03241511	Novel PAradigm to Improve Inflammatory Burden in ESRD (rePAIR): A Pilot and Feasibility Randomized Controlled Trial	Recruiting	No Results Available	Chronic Periodontitis|End Stage Renal Disease	Other: Test	All	21 Years and older   (Adult, Older Adult)	Not Applicable	90	Interventional	November 7, 2017	University of Connecticut Health Center, Farmington, Connecticut, United States	https://ClinicalTrials.gov/show/NCT03241511
395	NCT03237468	Neck Strengthening Program for the Prevention or Mitigation of Sports Concussion	Recruiting	No Results Available	Concussion, Brain	Other: Neck strengthening exercise to prevent concussion	All	12 Years to 22 Years   (Child, Adult)	Not Applicable	1500	Interventional	August 11, 2017	Hennepin County Medical Center, Minneapolis, Minnesota, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03237468
396	NCT03229538	STeroids to REduce Systemic Inflammation After Neonatal Heart Surgery	Recruiting	No Results Available	Congenital Heart Disease in Children|Inflammatory Response	Drug: Methylprednisolone|Drug: Isotonic saline	All	up to 12 Months   (Child)	Phase 3	1200	Interventional	October 18, 2017	Children's Hospital of Los Angeles, Los Angeles, California, United States|University of Colorado, Denver, Aurora, Colorado, United States|All Children's Research Institute, Saint Petersburg, Florida, United States|Ann & Robert Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Children's Mercy Hospital, Kansas City, Kansas, United States|Johns Hopkins University, Baltimore, Maryland, United States|Morgan Stanley Children's Hospital of New York Presbyterian, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|The University of Texas Southwestern Medical Center, Dallas, Texas, United States	https://ClinicalTrials.gov/show/NCT03229538
397	NCT03229486	Effect of Sugammadex vs. Neostigmine/Glycopyrrolate on Pediatric Emergence Delirium in Sevoflurane-rocuronium Anesthesia	Recruiting	No Results Available	Emergence Delirium	Drug: Sugammadex Injection [Bridion]|Drug: Neostigmine+Glycopyrronium	All	2 Years to 7 Years   (Child)	Phase 4	40	Interventional	October 17, 2017	Pusan National University Yangsan Hospital, Yangsan, Gyeongsangnam-do, Korea, Republic of	https://ClinicalTrials.gov/show/NCT03229486
398	NCT03227809	First Years Away From Home: Letting Go and Staying Connected	Recruiting	No Results Available	Substance Abuse|Risk Reduction|RIsky Sexual Behavior	Behavioral: Handbook condition|Behavioral: Handbook plus condition	All	17 Years to 22 Years   (Child, Adult)	Not Applicable	900	Interventional	April 1, 2017	Washington State University, Pullman, Washington, United States	https://ClinicalTrials.gov/show/NCT03227809
399	NCT03227770	The Benefit of Hemodialysis Plus Hemoperfusion on Mortality	Recruiting	No Results Available	End-stage Renal Disease	Device: hemoperfusion combined with hemodialysis|Device: hemodialysis	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	1364	Interventional	December 1, 2017	Changhai Hospital, Shanghai, Shanghai, China|Longhua Hospital Shanghai University of Traditional Chinese Medicine, Shanghai, Shanghai, China|RenJi Hospital, Shanghai, Shanghai, China|Ruijin Hospital, Shanghai, Shanghai, China|Shanghai 6th People's Hospital, Shanghai, Shanghai, China|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China|Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University, Shanghai, Shanghai, China|Shanghai Tongji Hospital, Tongji University School of Medicine, Shanghai, Shanghai, China|Shanghai Zhongshan Hospital, Shanghai, Shanghai, China|Yangpu District Central Hospital Affiliated to Tongji University, Shanghai, Shanghai, China|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT03227770
400	NCT03212859	Coach2Move: Sustainable in Daily Practice	Recruiting	No Results Available	Sedentary Lifestyle|Physical Activity|Frail Elderly Syndrome	Behavioral: Coach2Move|Behavioral: Usual Care	All	70 Years and older   (Older Adult)	Not Applicable	400	Interventional	November 6, 2017	Ward Heij, Nijmegen, Gelderland, Netherlands	https://ClinicalTrials.gov/show/NCT03212859
401	NCT03205956	Measuring Parkinson's Disease Progression	Recruiting	No Results Available	Parkinson's Disease	Drug: Levodopa	All	40 Years to 79 Years   (Adult, Older Adult)	Phase 1	40	Interventional	October 19, 2017	Washington University School of Medicine, Movement Disorders Center, Saint Louis, Missouri, United States	https://ClinicalTrials.gov/show/NCT03205956
402	NCT03196193	CM Asia Nail With AS2 Without AS2 （AS2 Study）	Recruiting	No Results Available	Trochanteric Fracture of Femur	Procedure: Open Reduction and Internal Fixation|Device: ZNN CM Asia|Device: Anterior Support Screw	All	20 Years and older   (Adult, Older Adult)	Not Applicable	240	Interventional	March 21, 2017	Kure Kyosai Hospital, Kure, Hiroshima, Japan|Toyooka Hospital, Toyooka, Hyogo, Japan|Kasugai Municipal Hospital, Aichi, Kasugai, Japan|Hoshigaoka Medical Center, Hirakata, Osaka, Japan|Numazu City Hospital, Numazu, Shizuoka, Japan|Saiseikai Takaoka Hospital, Takaoka, Toyama, Japan|Kyushu Central Hospital, Fukuoka, Japan|Saiseikai Kumamoto Hospital, Kumamoto, Japan|Niigata Central Hospital, Niigata, Japan|Okayama Red Cross Hospital, Okayama, Japan|Okayama Rosai Hospital, Okayama, Japan|Saga Pref. Medical Centre Koseikan, Saga, Japan	https://ClinicalTrials.gov/show/NCT03196193
403	NCT03193333	PRO-122 Versus Concomitant Therapy in Subjects With Uncontrolled Primary Open-angle Glaucoma (PRO-122LATAM)	Recruiting	No Results Available	Primary Open-angle Glaucoma	Drug: PRO-122|Drug: Timolol eye drops|Drug: Dorzolamide-Timolol Ophthalmic|Drug: Brimonidine Ophthalmic Solution|Other: Placebo1|Other: Placebo 2|Drug: Krytantek	All	18 Years and older   (Adult, Older Adult)	Phase 3	51	Interventional	August 4, 2017	MD. Sandra Belalcazar Rey, Bogotá, Bogotá D.C., Colombia|MD. Victoria Eugenia Sanchez Castellanos, Zapopan, Jalisco, Mexico	https://ClinicalTrials.gov/show/NCT03193333
404	NCT03191071	An Algorithm to Decide on Antibiotic Prescription in Lower Respiratory Tract Infection in Primary Care	Recruiting	No Results Available	Lower Resp Tract Infection	Diagnostic Test: UltraPro|Diagnostic Test: Procalcitonin|Diagnostic Test: Blood sampling|Diagnostic Test: Naso-pharyngeal swab and sputum culture	All	18 Years and older   (Adult, Older Adult)	Not Applicable	630	Interventional	September 1, 2018	Centre Hospitalier Universitaire Vaudois, Lausanne, Vaud, Switzerland	https://ClinicalTrials.gov/show/NCT03191071
405	NCT03168724	Goal Management Training, Executive Functions and HIV	Enrolling by invitation	No Results Available	Hiv	Behavioral: GMT intervention	All	46 Years and older   (Adult, Older Adult)	Not Applicable	60	Interventional	April 2016	Clinique Medicale L'Actuel, Montreal, Quebec, Canada|McGill University Health Center, Montreal, Quebec, Canada	https://ClinicalTrials.gov/show/NCT03168724
406	NCT03167723	Prospective Evaluation of 14F Thal Tube vs 28 French Chest Tube for Hemothorax and Use of Maximum Barrier Precautions	Enrolling by invitation	No Results Available	Hemothorax|Hemopneumothorax; Traumatic|Empyema|Chest Tube Size	Device: Chest tube placement	All	18 Years and older   (Adult, Older Adult)	Not Applicable	252	Interventional	May 8, 2017	Carolinas Medical Center, Charlotte, North Carolina, United States	https://ClinicalTrials.gov/show/NCT03167723
407	NCT03167307	The Omega-3 Fatty Acid Paediatric Depression Trial	Recruiting	No Results Available	Depression	Drug: Omega 3 fatty acid|Drug: Placebo oil	All	8 Years to 18 Years   (Child, Adult)	Phase 3	220	Interventional	April 28, 2017	Psychiatric University Clinics, Department of Child and Adolescent Psychiatry, Zurich, ZH, Switzerland	https://ClinicalTrials.gov/show/NCT03167307
408	NCT03128021	Neural Mechanisms of Monoaminergic Engagement in Late-life Depression Treatment Response (NEMO)	Recruiting	No Results Available	Major Depressive Disorder	Drug: Escitalopram Pill|Other: Placebo|Drug: Levomilnacipran Pill	All	60 Years and older   (Adult, Older Adult)	Phase 4	140	Interventional	May 24, 2017	University of Pittsburgh, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03128021
409	NCT03116139	Acute Kidney Injury in Patients Undergoing Contrast Exposure: VQ vs. CT	Recruiting	No Results Available	Acute Kidney Injury|Pulmonary Embolism|Contrast-induced Nephropathy	Diagnostic Test: V/Q imaging|Diagnostic Test: Computed tomography scan	All	18 Years and older   (Adult, Older Adult)	Not Applicable	700	Interventional	July 1, 2017	Indiana University Health Methodist Hospital, Indianapolis, Indiana, United States	https://ClinicalTrials.gov/show/NCT03116139
410	NCT03110744	CDK4/6 Inhibition in Locally Advanced/Metastatic Chordoma	Recruiting	No Results Available	Chordoma	Drug: Palbociclib	All	18 Years and older   (Adult, Older Adult)	Phase 2	43	Interventional	December 15, 2017	National Center for Tumor Diseases, Heidelberg, Germany	https://ClinicalTrials.gov/show/NCT03110744
411	NCT03100526	Patient Aligned Care Team (PACT) Intensive Management (PIM) Project	Enrolling by invitation	No Results Available	Primary Health Care|Health Care Costs	Behavioral: PACT Intensive Management	All	18 Years and older   (Adult, Older Adult)	Not Applicable	2210	Interventional	November 2013		https://ClinicalTrials.gov/show/NCT03100526
412	NCT03044613	Nivolumab +/- Relatlimab Prior to Chemoradiation Plus Nivolumab +/- Relatlimab With II/III Gastro/Esophageal Cancer	Recruiting	No Results Available	Gastric Cancer|Esophageal Cancer|GastroEsophageal Cancer	Drug: Nivolumab|Drug: Relatlimab|Drug: Carboplatin|Drug: Paclitaxel|Radiation: Radiation	All	18 Years and older   (Adult, Older Adult)	Phase 1	32	Interventional	July 11, 2017	Johns Hopkins University, Baltimore, Maryland, United States|Alleghany Health Network, Pittsburgh, Pennsylvania, United States|Baylor University, Dallas, Texas, United States	https://ClinicalTrials.gov/show/NCT03044613
413	NCT03036345	Cerebral Perfusion in the Beach Chair Position	Recruiting	No Results Available	Cognitive Dysfunction	Device: Dual-monitoring	All	18 Years to 99 Years   (Adult, Older Adult)	Not Applicable	200	Interventional	May 25, 2017	Brisbane Hand and Upper Limb Research Institute, Brisbane Private Hospital, Brisbane, Queensland, Australia	https://ClinicalTrials.gov/show/NCT03036345
414	NCT03026816	Epidural Stimulation After Neurologic Damage	Recruiting	No Results Available	Spinal Cord Injuries|Paraplegia, Complete	Device: Epidural Spinal Cord Stimulation	All	22 Years and older   (Adult, Older Adult)	Not Applicable	100	Interventional	August 7, 2017	Hennepin County Medical Center, Minneapolis, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03026816
415	NCT03007511	Safety and Usability Evaluation of the Fidmi Low-Profile Enteral Feeding Device	Recruiting	No Results Available	Feeding Tube|Dysphagia	Device: Fidmi enhanced enteral feeding device	All	18 Years to 90 Years   (Adult, Older Adult)	Not Applicable	15	Interventional	May 22, 2017	Hadassah Medical Center, Jerusalem, Ein Kerem, Israel|Shaare Zedek Medical Center, Jerusalem, Israel	https://ClinicalTrials.gov/show/NCT03007511
416	NCT02996565	Pragmatic Trial Comparing Telehealth Care and Optimized Clinic-Based Care for Uncontrolled High Blood Pressure	Enrolling by invitation	No Results Available	Hypertension	Other: Best Practice Clinic-Based Care|Other: Telehealth Care	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	2000	Interventional	November 15, 2017	HealthPartners Institute, Bloomington, Minnesota, United States	https://ClinicalTrials.gov/show/NCT02996565
417	NCT02995733	Patient Empowered Strategy to Reduce Asthma Morbidity in Highly Impacted Populations; PeRson EmPowered Asthma RElief	Recruiting	No Results Available	Asthma	Drug: PARTICS using QVAR	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	1200	Interventional	November 27, 2017	University of Alabama, Birmingham, Alabama, United States|Denver Health and Hospital Authority, Denver, Colorado, United States|Yale University, New Haven, Connecticut, United States|University of Florida, Gainesville, Florida, United States|University of Miami, Miami, Florida, United States|Grace Medical Home, Orlando, Florida, United States|University of Central Florida, Orlando, Florida, United States|University of South Florida, Tampa, Florida, United States|University of Illinois- Chicago, Chicago, Illinois, United States|Baystate Health Center, Springfield, Massachusetts, United States|Montefiore, Bronx, New York, United States|Mt. Sinai, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Atrium Health, Charlotte, North Carolina, United States|Duke University, Durham, North Carolina, United States|MetroHealth, Cleveland, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University, Philadelphia, Pennsylvania, United States|Ponce Health Sciences University, Ponce, Puerto Rico|University of Puerto Rico, San Juan, Puerto Rico	https://ClinicalTrials.gov/show/NCT02995733
418	NCT02993432	High Volume Foleys Increasing Vaginal Birth Pilot Trial	Enrolling by invitation	No Results Available	Labour; Induced|Pilot Study|Cervical Ripening	Device: Foley catheter filled to 80cc|Drug: prostaglandin of the clinician's choice	Female	Child, Adult, Older Adult	Not Applicable	130	Interventional	December 2016		https://ClinicalTrials.gov/show/NCT02993432
419	NCT02990429	Forced Air and Intravenous Fluid Warmers in Gynecologic Laparoscopic Surgery	Enrolling by invitation	No Results Available	Hypothermia; Anesthesia	Procedure: Forced Air warmer|Procedure: Intravenous Fluid Warmer	Female	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	90	Interventional	April 2016	Warunee Boayam, Bangkok Noi, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT02990429
420	NCT02978950	SToP: Venous Thromboembolism Screening in the Trauma Population	Recruiting	No Results Available	Venous Thromboembolism|Deep Vein Thrombosis|Trauma, Multiple	Other: Duplex ultrasound surveillance|Other: No ultrasound surveillance	All	18 Years and older   (Adult, Older Adult)	Not Applicable	2000	Interventional	March 20, 2017	Intermountain Medical Center, Murray, Utah, United States	https://ClinicalTrials.gov/show/NCT02978950
421	NCT02959697	Subconjunctival Injection of Local Anesthetic in Anterior Blepharoptosis Repair	Recruiting	No Results Available	Blepharoptosis|Ptosis	Drug: Subcut. + Subconj. Xylocaine|Drug: Subcut. + Sham Subconj. Injection|Procedure: Blepharoptosis Repair	All	18 Years and older   (Adult, Older Adult)	Not Applicable	100	Interventional	September 1, 2017	Buhler Eye Centre, Misericordia Hospital, Winnipeg, Manitoba, Canada|Private Office (Dr. Lee-Wing). 1010-233 Kennedy st., Winnipeg, Manitoba, Canada	https://ClinicalTrials.gov/show/NCT02959697
422	NCT02957669	Evaluation of Practice Self-Regulation	Enrolling by invitation	No Results Available	Teen Pregnancy Prevention	Behavioral: Practice Self-Regulation|Behavioral: Therapy Practice Group	All	14 Years to 19 Years   (Child, Adult)	Not Applicable	400	Interventional	July 2016		https://ClinicalTrials.gov/show/NCT02957669
423	NCT02957253	Effects on Liver Cirrhotic Patients' by a Nurse-led Clinic	Recruiting	No Results Available	Liver Cirrhosis	Other: risk factors|Other: self-care|Other: nutrition|Other: lifestyle|Other: psychosocial needs|Other: Nurse-led clinic	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	570	Interventional	November 17, 2016	Gastroenterology department, Falun, Sweden|Gastroenterology outpatientclinic, Sahlgrenska hospital, Gothenburg, Sweden|Gastroenterology outpatient department, Skane Universityhospital, Malmo, Sweden|Gastroenterology department, Danderyd hospital, Stockholm, Sweden|Gastroenterology department, Uppsala academical hospital, Uppsala, Sweden|Gastroenterology department, Örebro Universityhospital, Örebro, Sweden	https://ClinicalTrials.gov/show/NCT02957253
424	NCT02940028	ICU Experience Among Family Members of ICU Patients	Recruiting	No Results Available	Post-traumatic Growth	Behavioral: Expressive writing|Behavioral: Control writing	All	18 Years and older   (Adult, Older Adult)	Not Applicable	120	Interventional	April 29, 2017	Intermountain Medical Center, Murray, Utah, United States	https://ClinicalTrials.gov/show/NCT02940028
425	NCT02874443	The REDUCED Trial: REDucing the Utilization of CEsarean Sections for Dystocia	Recruiting	No Results Available	Cesarean Section, Dystocia	Other: Knowledge Translation of labor management guidelines	Female	Child, Adult, Older Adult	Not Applicable	40000	Interventional	October 2016	University of Calgary, Calgary, Alberta, Canada	https://ClinicalTrials.gov/show/NCT02874443
426	NCT02871349	Trial of Propranolol in Children and Youth With Autism Spectrum Disorder and Predictors of Response	Recruiting	No Results Available	Autism Spectrum Disorder	Drug: Propranolol|Drug: Placebo|Device: Magnetic Resonance Imaging (MRI)	All	7 Years to 24 Years   (Child, Adult)	Early Phase 1	96	Interventional	August 2016	Thompson Center for Autism & Neurodevelopmental Disorders, Columbia, Missouri, United States	https://ClinicalTrials.gov/show/NCT02871349
427	NCT02852213	A Single-Stage, Adaptive, Open-label, Dose Escalation Safety and Efficacy Study of AADC Deficiency in Pediatric Patients	Recruiting	No Results Available	AADC Deficiency	Drug: AAV2-hAADC	All	5 Years to 18 Years   (Child, Adult)	Phase 1	6	Interventional	July 2016	University of California San Francisco, Benioff Children's Hospital, San Francisco, California, United States	https://ClinicalTrials.gov/show/NCT02852213
428	NCT02845336	Celecoxib for Thyroid Eye Disease	Recruiting	No Results Available	Thyroid Eye Disease	Drug: Celecoxib|Drug: artificial tears	All	18 Years to 50 Years   (Adult)	Phase 2	40	Interventional	March 5, 2017	Wilmer Eye Institute, Johns Hopkins University, Baltimore, Maryland, United States	https://ClinicalTrials.gov/show/NCT02845336
